tree_bonsai,tree_iea_energy_balance,comment,prefixed_id,skos_uri
A_TWAS,MARBUNK,one-to-many correspondence,e5f4222d-4c70-437f-8f52-563553b8f80b,http://www.w3.org/2004/02/skos/core#closeMatch
A_TAIR,AVBUNK,one-to-many correspondence,a11acb4f-011e-4a10-a9c5-061eeb2b634f,http://www.w3.org/2004/02/skos/core#closeMatch
I_CHIN,STOCKCHA,one-to-one correspondence,7f27823a-411f-4e0d-bc10-87b632174ce8,http://www.w3.org/2004/02/skos/core#exactMatch
A_CHP,MAINCHP,one-to-many correspondence,7978a198-2321-45b4-b113-e2c62eb82e4d,http://www.w3.org/2004/02/skos/core#closeMatch
A_CHP,AUTOCHP,one-to-many correspondence,fec2f795-d835-4a85-a081-31c9f4ac1860,http://www.w3.org/2004/02/skos/core#closeMatch
A_HPUMP,THEAT,one-to-one correspondence,cc75513f-88c8-4290-b5eb-e59e9c5e1937,http://www.w3.org/2004/02/skos/core#exactMatch
A_EBOIL,TBOILER,one-to-one correspondence,0c8c77ff-fc57-4127-b7f0-bb46ad1d350e,http://www.w3.org/2004/02/skos/core#exactMatch
A_HCHEM,TELE,one-to-one correspondence,7cdeeb59-899f-4d6c-9806-cbbefa2bfa9b,http://www.w3.org/2004/02/skos/core#exactMatch
A_STEL,TBLASTFUR,one-to-many correspondence,ec135e74-4d00-49c5-9d91-922808effc49,http://www.w3.org/2004/02/skos/core#closeMatch
A_MGWG,TGASWKS,one-to-many correspondence,5d0f72d8-4d7c-4d44-830f-237e4d2447ba,http://www.w3.org/2004/02/skos/core#closeMatch
A_COKE,TCOKEOVS,one-to-many correspondence,b35aefec-9d33-457a-a1e5-992024be95e6,http://www.w3.org/2004/02/skos/core#closeMatch
A_COKE,TPATFUEL,one-to-many correspondence,412e4c06-5136-4429-ba9a-5d30c90e52b5,http://www.w3.org/2004/02/skos/core#closeMatch
A_COKE,TBKB,one-to-many correspondence,1502d58b-ccfc-4206-9593-e5bf4ed67b1a,http://www.w3.org/2004/02/skos/core#closeMatch
A_REFN,TREFINER,one-to-many correspondence,3bb4550e-9a6e-4f4e-8bcc-97e7a589a7b4,http://www.w3.org/2004/02/skos/core#closeMatch
A_COKE,TCOALLIQ,one-to-many correspondence,ecbdddf3-c983-4b96-8b18-7b3c057d8803,http://www.w3.org/2004/02/skos/core#closeMatch
A_OGPL,TGTL,one-to-many correspondence,f6c5d1cb-926c-4ba1-96eb-d0903f228344,http://www.w3.org/2004/02/skos/core#closeMatch
A_MGWG,TBLENDGAS,one-to-many correspondence,02b36cbb-f479-49a0-9ec2-2ccbba7be338,http://www.w3.org/2004/02/skos/core#closeMatch
A_COKE,TCHARCOAL,one-to-many correspondence,61d911b9-2db5-41d9-83c9-1ba250c60ab1,http://www.w3.org/2004/02/skos/core#closeMatch
A_COAL,EMINES,one-to-one correspondence,29ddaae3-e0d3-4b60-9977-1bdbaf9e5e27,http://www.w3.org/2004/02/skos/core#exactMatch
A_COIL,EOILGASEX,one-to-one correspondence,191e61a2-2d64-4110-bd92-319fec3887e6,http://www.w3.org/2004/02/skos/core#exactMatch
A_STEL,EBLASTFUR,one-to-many correspondence,f7623f2f-e9bc-4960-ba51-c9e316aadc34,http://www.w3.org/2004/02/skos/core#closeMatch
A_MGWG,EGASWKS,one-to-many correspondence,bf419602-b974-49ae-a912-5ffb69bc322b,http://www.w3.org/2004/02/skos/core#closeMatch
A_BIO,EBIOGAS,one-to-one correspondence,6209fed2-2a50-4ac7-93f7-86da793c2651,http://www.w3.org/2004/02/skos/core#exactMatch
A_COKE,ECOKEOVS,one-to-many correspondence,68e2427e-7809-4cc9-b47b-f354a6e66552,http://www.w3.org/2004/02/skos/core#closeMatch
A_COKE,EPATFUEL,one-to-many correspondence,78cca2c3-011e-4fc6-a301-3e8a93d91a40,http://www.w3.org/2004/02/skos/core#closeMatch
A_COKE,EBKB,one-to-many correspondence,754badd0-635b-4d4d-b704-4a12b7fb5bfe,http://www.w3.org/2004/02/skos/core#closeMatch
A_REFN,EREFINER,one-to-many correspondence,f9f1a17d-4809-4f8d-8fa6-60d38dae0d97,http://www.w3.org/2004/02/skos/core#closeMatch
A_COKE,ECOALLIQ,one-to-many correspondence,935f2c01-cf48-429c-b5fb-7487501c885c,http://www.w3.org/2004/02/skos/core#closeMatch
A_OGPL,ELNG,one-to-many correspondence,9640be89-667f-4336-8bb5-6b749c3e880b,http://www.w3.org/2004/02/skos/core#closeMatch
A_OGPL,EGTL,one-to-many correspondence,d91f1c44-b81f-489a-8108-c37d33fc86a0,http://www.w3.org/2004/02/skos/core#closeMatch
A_POWH,EPUMPST,one-to-one correspondence,e7aeb057-4533-47ce-a9ad-f8dee049969c,http://www.w3.org/2004/02/skos/core#exactMatch
A_POWN,ENUC,one-to-one correspondence,99183dec-dc22-474e-82df-6390d93ec9a1,http://www.w3.org/2004/02/skos/core#exactMatch
A_COKE,ECHARCOAL,one-to-many correspondence,0fc63b51-91ca-4c76-b26c-ccfa8cc9d168,http://www.w3.org/2004/02/skos/core#closeMatch
A_CONS,CONSTRUC,one-to-many correspondence,2e2bf784-520e-451b-9572-a325f56779a4,http://www.w3.org/2004/02/skos/core#closeMatch
A_STEL,IRONSTL,one-to-many correspondence,502902ba-7bd9-4b36-b0ed-b3067542157d,http://www.w3.org/2004/02/skos/core#closeMatch
A_WOOD,WOODPRO,one-to-many correspondence,cbc917bd-7c50-450f-a72a-119da673232e,http://www.w3.org/2004/02/skos/core#closeMatch
A_TAIR,WORLDLAV,one-to-many correspondence,2be1ab4a-2676-47c5-8764-f68d63b48608,http://www.w3.org/2004/02/skos/core#closeMatch
A_TAIR,DOMESAIR,one-to-many correspondence,891e85a6-c2fa-4f76-82b1-09c46250d6dc,http://www.w3.org/2004/02/skos/core#closeMatch
A_TLND,ROAD,one-to-one correspondence,3e40f841-2296-4279-afa2-65dd537a7d43,http://www.w3.org/2004/02/skos/core#exactMatch
A_TRAI,RAIL,one-to-one correspondence,da43104c-e485-45ec-8916-f2ee18c99e4f,http://www.w3.org/2004/02/skos/core#exactMatch
A_TPIP,PIPELINE,one-to-one correspondence,eaf5e197-ba3b-4704-ad98-95f86fdfa610,http://www.w3.org/2004/02/skos/core#exactMatch
A_TWAS,WORLDMAR,one-to-many correspondence,fda8071f-26ad-48d3-a32d-58f66c8eed03,http://www.w3.org/2004/02/skos/core#closeMatch
A_TWAS,DOMESNAV,one-to-many correspondence,d09ee500-d588-482f-9a41-1b3224e9ba4a,http://www.w3.org/2004/02/skos/core#closeMatch
F_HOUS,RESIDENT,one-to-many correspondence,269f6e81-4866-4904-b211-c66cc8ac4230,http://www.w3.org/2004/02/skos/core#closeMatch
A_FISH,FISHING,one-to-one correspondence,c5e1e4e8-d4bd-431c-a638-07456e90f2cd,http://www.w3.org/2004/02/skos/core#exactMatch
F_HOUS,ONONSPEC,one-to-many correspondence,140130ba-416e-438b-b949-ab591fcd4e7b,http://www.w3.org/2004/02/skos/core#closeMatch
A_CONS,NECONSTRUC,one-to-many correspondence,8c951825-4b3b-45f3-b357-ebd79d5214c9,http://www.w3.org/2004/02/skos/core#closeMatch
A_STEL,NEIRONSTL,one-to-many correspondence,96c7d6ef-ec67-4dbe-96ad-0684a271533b,http://www.w3.org/2004/02/skos/core#closeMatch
A_WOOD,NEWOODPRO,one-to-many correspondence,dce97a56-9659-4f5b-9778-d547d2274a64,http://www.w3.org/2004/02/skos/core#closeMatch
