code,parent_code,name,level,prefixed_id
INDPROD,,Production,0,dc420447-a428-42df-870b-6bdd5c4c7e90
IMPORTS,,Imports,0,8c928753-6e8e-4ee9-97dd-db9457e99688
EXPORTS,,Exports,0,eda9317e-236d-4c48-a370-04a3401d9c11
MARBUNK,,International marine bunkers,0,72417b7c-b920-4d69-ac8c-95f372062816
AVBUNK,,International aviation bunkers,0,fe5181e7-d6d2-4a7f-9982-2cd21894cac7
STOCKCHA,,Stock changes,0,4f32ce93-5e00-422f-b9bc-5850518046e8
TES,,Total energy supply,0,cf212efa-f8ee-4eba-99bc-fd3ca0c548ff
TRANSFER,,Transfers,0,bcceabfe-214d-4969-8546-4fce6012b019
STATDIFF,,Statistical differences,0,3ab017d7-cd3c-48ca-bb36-120ce402cc1f
TOTTRANF,,Transformation processes,0,60527888-7d07-4816-bcc5-8c127b07d260
MAINELEC,,Main activity producer electricity plants,0,40b1ab71-5fba-43c5-aed2-c709f3af5825
AUTOELEC,,Autoproducer electricity plants,0,d1085550-eb4b-472b-83b9-04e776db375b
MAINCHP,,Main activity producer CHP plants,0,8acb98e3-33f4-49b8-be6b-e20b00099e0a
AUTOCHP,,Autoproducer CHP plants,0,425ba907-743b-44a7-ae88-36b2bfe14cb8
MAINHEAT,,Main activity producer heat plants,0,833e5049-1cb6-408e-a61f-088c4904f480
AUTOHEAT,,Autoproducer heat plants,0,443b93d1-53e1-49c6-9eee-14c547cf2fc5
THEAT,,Heat pumps,0,47438d4b-db4a-4e1c-a05b-f81c00c82565
TBOILER,,Electric boilers,0,0eb446e5-5b08-4f87-b2fb-188d7a5a6fc2
TELE,,Chemical heat for electricity production,0,c01897ae-0631-4ae8-9ce6-f3d8a10841f3
TBLASTFUR,,Blast furnaces,0,a03db53c-2967-4b8f-9d01-1f894f22b203
TGASWKS,,Gas works,0,93f73f59-600c-4c32-acb5-3e826c3aece4
TCOKEOVS,,Coke ovens,0,ac37ea20-e5a7-4e99-a74a-6f2f617d3a5a
TPATFUEL,,Patent fuel plants,0,d41b8a4d-fd5d-450b-be16-38fc5713470a
TBKB,,BKB/peat briquette plants,0,9b0bcb9e-6dce-48bc-ad57-95c062abb8fc
TREFINER,,Oil refineries,0,0daa315f-82c5-44b9-a9a7-74d44affde6d
TPETCHEM,,Petrochemical plants,0,29cdcc51-d98f-4b21-a76b-a29fe8dd61c3
TCOALLIQ,,Coal liquefaction plants,0,2b5770d7-69fe-4424-81a1-2dede3bc68a4
TGTL,,Gas-to-liquids (GTL) plants,0,5f8dca57-c237-4c3e-88e4-091818cbdd22
TBLENDGAS,,For blended natural gas,0,a0258dbb-21df-4da9-8933-1a637da89a7b
TCHARCOAL,,Charcoal production plants,0,7c06053b-9ae9-43df-a6a9-e92d2aa80980
TNONSPEC,,Non-specified (transformation),0,1ac78f6d-8bc8-4f39-975e-961f9e7ff029
TOTENGY,,Energy industry own use,0,81d3ece4-b257-4716-8590-ab42d904763b
EMINES,,Coal mines,0,6047edf1-c8bd-4a79-b30a-751197db337f
EOILGASEX,,Oil and gas extraction,0,a36e7a94-d1dd-4447-8e30-9cb3a82d3b09
EBLASTFUR,,Blast furnaces (energy use),0,a1952292-9132-4190-af9b-595921535ae7
EGASWKS,,Gas works (energy use),0,518e2a72-d3c9-420f-93a6-8a6beee893ed
EBIOGAS,,Gasification plants for biogases,0,619ee544-b14a-422d-b796-a4e668b27423
ECOKEOVS,,Coke ovens (energy use),0,2a1cad72-24f3-4f31-8a29-0caf049d2b21
EPATFUEL,,Patent fuel plants (energy use),0,fc72d438-60e0-4e01-bdde-fd80bceb4ddb
EBKB,,BKB/peat briquette plants (energy use),0,54bcdeb3-0822-4f2b-96b9-54a1bae943af
EREFINER,,Oil refineries (energy use),0,ea174712-33c8-47c0-bbe4-c2c6167c142e
ECOALLIQ,,Coal liquefaction plants (energy use),0,684d3ea1-436f-4568-ad8e-a63bbdfec90f
ELNG,,Liquefaction (LNG) / regasification plants,0,2f0d75b4-efc2-4964-a668-bee48a3e6b1d
EGTL,,Gas-to-liquids (GTL) plants (energy use),0,fdcf36e7-899a-47e3-b8d7-d84d624473e0
EPOWERPLT,,"Own use in electricity, CHP and heat plants",0,2727e204-bf04-4e8d-b056-f6e768ae3306
EPUMPST,,Pumped storage plants,0,352c9e1d-7585-4c5d-8e4a-eec57b2b0e1f
ENUC,,Nuclear industry,0,43fa6c69-1bd1-470e-afdf-96bfa8523dbf
ECHARCOAL,,Charcoal production plants (energy use),0,4f565f41-9e7a-406b-8f68-bd87f18fd739
ENONSPEC,,Non-specified (energy),0,fff1db08-c31e-4f84-879c-e90dd14bcab9
DISTLOSS,,Losses,0,1e84d12d-2550-4dbe-bf5a-3d6d74ead7a3
TFC,,Total final consumption,0,8199ef4f-7505-41db-bb58-725918fb3bea
TOTIND,,Industry,0,9fb5220d-807d-47d7-ac9c-6e038986be7e
MINING,,Mining and quarrying,0,be690103-d3ec-415f-8391-076abe8a5494
CONSTRUC,,Construction,0,d89e504f-ec77-4b05-89ba-c0af4c787971
MANUFACT,,Manufacturing,0,f264d9c3-af5a-4532-aba4-8484c83f7a30
IRONSTL,,Iron and steel,0,f0c0ce67-da17-4699-ad38-0f09dd00e602
