name,schema_name,location,url,description,comment
conc_bonsai_cpc_2_1,FlowObjectCorrespondence,conc_bonsai_cpc_2_1.csv,,concordance between Bonsai master and cpc 2.1,own work
conc_bonsai_exio_v_3_3_18_va,FlowObjectCorrespondence,conc_bonsai_exio_v_3_3_18_va.csv,,concordance between Bonsai master and Exiobase v3.3.18 value added,own work
conc_bonsai_iea_energy_balance,FlowObjectCorrespondence,conc_bonsai_iea_energy_balance.csv,,concordance between Bonsai master and  IEA Energy balance,own work
conc_bonsai_prodcom_sold_2_0,FlowObjectCorrespondence,conc_bonsai_prodcom_sold_2_0.csv,,concordance between Bonsai master and prodcom sold,own work
conc_bonsai_prodcom_total_2_0,FlowObjectCorrespondence,conc_bonsai_prodcom_total_2_0.csv,,concordance between Bonsai master and prodcom total,own work
dim_chemical_compound,ChemicalCompound,dim_chemical_compound.csv,,chemical compounds used in Bonsai,own work
tree_compartment,Compartment,tree_compartment.csv,,flow compartments used in Bonsai,own work
dim_level,Level,dim_level.csv,,levels of the classification codes,own work
dim_lcia,LCIA,dim_lcia.csv,,Life Cycle Impact Assessment Categories,own work
tree_bonsai,FlowObject,tree_bonsai.csv,,Flow Objects of Bonsai,own work
tree_cpc_2_1,FlowObject,tree_cpc_2_1.csv,https://unstats.un.org/unsd/classifications/Econ/cpc,Central Product Classification (CPH),
tree_ewc_stat_4,FlowObject,tree_ewc_stat_4.csv,https://ec.europa.eu/eurostat/ramon/other_documents/ewc_stat_4/index.cfm?TargetUrl=DSP_EWC_STAT_4,EWC-STAT 4 European Waste Classification for Statistics,
tree_exio_v_3_3_18_va,FlowObject,tree_exio_v_3_3_18_va.csv,https://zenodo.org/record/7244919,Exiobase hybrid v3.3.18 codes for value added,
tree_undata_ics,FlowObject,tree_undata_ics.csv,https://stat.unido.org/unido-data-portal-api,United Nations Industrial Commodity Statistics (ICS),
tree_iea_energy_balance,FlowObject,tree_iea_energy_balance.csv,https://wds.iea.org/wds/pdf/worldbal_documentation.pdf,IEA World energy balance classification,
tree_prodcom_sold_2_0,FlowObject,tree_prodcom_sold_2_0.csv,https://ec.europa.eu/eurostat/cache/metadata/en/prom_esms.htm,"Statistics on the Sold production, exports and imports of manufactured goods (ds-056120)",
tree_prodcom_total_2_0,FlowObject,tree_prodcom_total_2_0.csv,https://ec.europa.eu/eurostat/cache/metadata/en/prom_esms.htm,"Statistics on the production of manufactured goods (ds-056121)",
tree_undata_energy_balance,FlowObject,tree_undata_energy_balance.csv,https://unstats.un.org/unsd/energystats/api/;https://unstats.un.org/unsd/energystats/pubs/balance/2021/03.pdf,UN energy balance,
