id,t,x,y,v,e,e1,t_local,state,ramp_direction,sp_start_time,sp_end_time,sp_start_displacement,sp_end_displacement,sp_duration,qp_start_time,qp_end_time,qp_start_displacement,qp_end_displacement,qp_duration,chain_id,expected_sp_ramp_direction,expected_qp_ramp_direction,expected_qp_peak_velocity,expected_sp_end_peak_type,expected_qp_end_peak_type,expected_sp_end_bound,result_id,result_chain_id,is_sp,is_qp
0,0,0.46447277069091797,0.6284414503309461,0.08473912496282485,1,1,0,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,2,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,-1,-1,false,false
1,0.019946813583374023,0.4661630462197697,0.6284435413501881,0.04453171490455547,1,1,0.019946813583374023,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,3,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,-1,-1,false,false
2,0.04088997840881348,0.4662936715518727,0.6285870869954426,0.007708627324247707,1,1,0.04088997840881348,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,4,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,-1,-1,false,false
3,0.07380294799804688,0.466578203089097,0.6285940382215711,0.04012657108976741,1,1,0.07380294799804688,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,5,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,-1,-1,false,false
4,0.08975911140441895,0.46825462229111614,0.628690281620732,0.05927396620361724,1,1,0.08975911140441895,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,6,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,-1,-1,false,false
5,0.10571694374084473,0.46846987219417796,0.6287294175889757,0.031326878110955324,1,1,0.10571694374084473,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,7,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,-1,-1,false,false
6,0.12865591049194336,0.46947313757503734,0.6287341930248119,0.04611152597045595,1,1,0.12865591049194336,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,8,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,-1,-1,false,false
7,0.14461231231689453,0.47026339699240294,0.6292633904351128,0.06362731556711118,1,1,0.14461231231689453,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,9,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,-1,-1,false,false
8,0.16455984115600586,0.4717576083014993,0.6295021339699074,0.08089486627059149,1,1,0.16455984115600586,SEARCH_SP,UPWARD,0.16455984115600586,0,0.4717576083014993,0,0,0,0,0,0,0,9,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,-1,-1,false,false
9,0.18650126457214355,0.4736519981833065,0.630082928692853,0.06926279476465902,1,1,0.18650126457214355,SEARCH_SP,UPWARD,0.16455984115600586,0.18650126457214355,0.4717576083014993,0.4736519981833065,0.021941423416137695,0.18650126457214355,0,0.4736519981833065,0,0,9,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,0,9,true,false
10,0.21143412590026855,0.4750042522654814,0.6304924858940972,0.05988695727444977,1,1,0.21143412590026855,SEARCH_SP,UPWARD,0.16455984115600586,0.21143412590026855,0.4717576083014993,0.4750042522654814,0.046874284744262695,0.21143412590026855,0,0.4750042522654814,0,0,9,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,0,9,true,false
11,0.23138046264648438,0.4763396768008961,0.6306919521755643,0.1066930158679565,1,1,0.23138046264648438,SEARCH_SP,UPWARD,0.16455984115600586,0.23138046264648438,0.4717576083014993,0.4763396768008961,0.06682062149047852,0.23138046264648438,0,0.4763396768008961,0,0,9,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,0,9,true,false
12,0.2563142776489258,0.47979265100815716,0.6314644990143953,0.11430319094709031,1,1,0.2563142776489258,SEARCH_SP,UPWARD,0.16455984115600586,0.2563142776489258,0.4717576083014993,0.47979265100815716,0.09175443649291992,0.2563142776489258,0,0.47979265100815716,0,0,9,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,0,9,true,false
13,0.27127504348754883,0.48089975469252644,0.6323579576280383,0.08122340534522679,1,1,0.27127504348754883,IN_SP,UPWARD,0.16455984115600586,0.2563142776489258,0.4717576083014993,0.47979265100815716,0.10671520233154297,0.2563142776489258,0,0.47979265100815716,0,0,9,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,0,9,true,false
14,0.29122138023376465,0.48262792475083294,0.632841717755353,0.07648717449465978,1,1,0.29122138023376465,IN_SP,UPWARD,0.16455984115600586,0.29122138023376465,0.4717576083014993,0.48262792475083294,0.1266615390777588,0.29122138023376465,0,0.48262792475083294,0,0,9,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,0,9,true,false
15,0.31017065048217773,0.48387476977180033,0.6333209285029658,0.07502135467803556,1,1,0.31017065048217773,IN_SP,UPWARD,0.16455984115600586,0.31017065048217773,0.4717576083014993,0.48387476977180033,0.14561080932617188,0.31017065048217773,0,0.48387476977180033,0,0,9,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,0,9,true,false
16,0.33011722564697266,0.48554594376507926,0.633413639775029,0.056607328929994545,1,1,0.33011722564697266,IN_SP,UPWARD,0.16455984115600586,0.33011722564697266,0.4717576083014993,0.48554594376507926,0.1655573844909668,0.33011722564697266,0,0.48554594376507926,0,0,9,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,0,9,true,false
17,0.3500638008117676,0.48613301445456114,0.6334590488009982,0.01904814837011693,1,1,0.3500638008117676,IN_SP,UPWARD,0.16455984115600586,0.3500638008117676,0.4717576083014993,0.48613301445456114,0.18550395965576172,0.3500638008117676,0,0.48613301445456114,0,0,9,UPWARD,DOWNWARD,DOWNWARD,MAXIMA,MINIMA,UPPER,0,9,true,false
