[2024-09-28T22:04:01-0400] INFO module: decorators, line 79 -> ====================          START duple.duple/scan          ==================== uid='18d3ec7e7e0711ef92c4c62b21528c10'
[2024-09-28T22:04:01-0400] DEBUG module: decorators, line 37 -> duple.duple/scan called with args path='.', depth_min=True, name_min=True, paths_file_stdin=<_io.TextIOWrapper name='<stdin>' mode='r' encoding='utf-8'>, hash='sha256', depth_max=False, name_max=False, created_min=False, created_max=False, modified_min=False, modified_max=False, accessed_min=False, accessed_max=False, number_of_cpus=7, chunksize=2
[2024-09-28T22:04:01-0400] DEBUG module: decorators, line 39 -> duple.duple/scan START
[2024-09-28T22:04:01-0400] DEBUG module: duple, line 310 -> Finished input validation
[2024-09-28T22:04:02-0400] DEBUG module: duple, line 345 -> Finished reading files from os.walk, 20012 files
[2024-09-28T22:04:02-0400] DEBUG module: decorators, line 57 -> duple.files/Files.pre_process_files START
[2024-09-28T22:04:02-0400] DEBUG module: decorators, line 59 -> duple.files/Files.pre_process_files FINISH elapsed time: 0.76261
[2024-09-28T22:04:02-0400] DEBUG module: decorators, line 57 -> duple.files/Files.process_files START
[2024-09-28T22:04:02-0400] DEBUG module: files, line 106 -> ID of Potential Duplicates START
[2024-09-28T22:04:02-0400] DEBUG module: files, line 112 -> ID of Potential Duplicates FINISH
[2024-09-28T22:04:03-0400] DEBUG module: files, line 123 -> Recording Hash Values to Files START
[2024-09-28T22:04:03-0400] DEBUG module: files, line 126 -> Recording Hash Values to Files FINISH
[2024-09-28T22:04:03-0400] DEBUG module: files, line 128 -> Making Duplicates List START
[2024-09-28T22:04:03-0400] DEBUG module: files, line 133 -> Making Duplicates List FINISH
[2024-09-28T22:04:03-0400] DEBUG module: files, line 135 -> Marking Ignored/Duplicate START
[2024-09-28T22:04:03-0400] DEBUG module: files, line 143 -> Marking Ignored/Duplicate FINISH
[2024-09-28T22:04:03-0400] DEBUG module: files, line 145 -> Finalizing Duplicates START
[2024-09-28T22:04:03-0400] DEBUG module: files, line 147 -> Finalizing Duplicates FINISH
[2024-09-28T22:04:03-0400] DEBUG module: decorators, line 59 -> duple.files/Files.process_files FINISH elapsed time: 2.01138
[2024-09-28T22:04:03-0400] DEBUG module: duple, line 362 -> Finished hashing
[2024-09-28T22:04:03-0400] DEBUG module: decorators, line 57 -> duple.files/Files.determine_originals START
[2024-09-28T22:04:03-0400] DEBUG module: decorators, line 57 -> duple.files/Files.calculate_totals START
[2024-09-28T22:04:03-0400] DEBUG module: decorators, line 59 -> duple.files/Files.calculate_totals FINISH elapsed time: 2.04822
[2024-09-28T22:04:03-0400] DEBUG module: decorators, line 59 -> duple.files/Files.determine_originals FINISH elapsed time: 2.04827
[2024-09-28T22:04:03-0400] DEBUG module: duple, line 364 -> Finished selecting originals
[2024-09-28T22:04:03-0400] DEBUG module: decorators, line 57 -> duple.files/Files.create_duplicate_output START
[2024-09-28T22:04:03-0400] DEBUG module: decorators, line 59 -> duple.files/Files.create_duplicate_output FINISH elapsed time: 2.09572
[2024-09-28T22:04:03-0400] DEBUG module: decorators, line 57 -> duple.files/Files.create_all_files_output START
[2024-09-28T22:04:03-0400] DEBUG module: decorators, line 59 -> duple.files/Files.create_all_files_output FINISH elapsed time: 2.14644
[2024-09-28T22:04:03-0400] DEBUG module: decorators, line 57 -> duple.library/create_output START
[2024-09-28T22:04:03-0400] DEBUG module: decorators, line 59 -> duple.library/create_output FINISH elapsed time: 2.17177
[2024-09-28T22:04:03-0400] DEBUG module: duple, line 378 -> Finished creating output, total "duple scan" time of  2.15174
[2024-09-28T22:04:03-0400] DEBUG module: decorators, line 41 -> duple.duple/scan FINISH ( 2.16020)
[2024-09-28T22:04:03-0400] INFO module: decorators, line 81 -> ====================         FINISH duple.duple/scan          ==================== uid='18d3ec7e7e0711ef92c4c62b21528c10' elapsed time: 2.16030 seconds
[2024-09-28T22:05:04-0400] INFO module: decorators, line 79 -> ====================       START duple.duple/followlog        ==================== uid='3e0c2bb47e0711ef8e3fc62b21528c10'
[2024-09-28T22:05:08-0400] INFO module: decorators, line 79 -> ====================          START duple.duple/scan          ==================== uid='40be1e087e0711ef87b4c62b21528c10'
[2024-09-28T22:05:08-0400] DEBUG module: decorators, line 37 -> duple.duple/scan called with args path='.', depth_min=True, name_min=True, paths_file_stdin=<_io.TextIOWrapper name='<stdin>' mode='r' encoding='utf-8'>, hash='sha256', depth_max=False, name_max=False, created_min=False, created_max=False, modified_min=False, modified_max=False, accessed_min=False, accessed_max=False, number_of_cpus=7, chunksize=2
[2024-09-28T22:05:08-0400] DEBUG module: decorators, line 39 -> duple.duple/scan START
[2024-09-28T22:05:08-0400] DEBUG module: duple, line 310 -> Finished input validation
[2024-09-28T22:05:09-0400] DEBUG module: duple, line 345 -> Finished reading files from os.walk, 20012 files
[2024-09-28T22:05:09-0400] DEBUG module: decorators, line 57 -> duple.files/Files.pre_process_files START
[2024-09-28T22:05:09-0400] DEBUG module: decorators, line 59 -> duple.files/Files.pre_process_files FINISH elapsed time: 0.71518
[2024-09-28T22:05:09-0400] DEBUG module: decorators, line 57 -> duple.files/Files.process_files START
[2024-09-28T22:05:09-0400] DEBUG module: files, line 106 -> ID of Potential Duplicates START
[2024-09-28T22:05:09-0400] DEBUG module: files, line 112 -> ID of Potential Duplicates FINISH
[2024-09-28T22:05:10-0400] DEBUG module: files, line 123 -> Recording Hash Values to Files START
[2024-09-28T22:05:10-0400] DEBUG module: files, line 126 -> Recording Hash Values to Files FINISH
[2024-09-28T22:05:10-0400] DEBUG module: files, line 128 -> Making Duplicates List START
[2024-09-28T22:05:10-0400] DEBUG module: files, line 133 -> Making Duplicates List FINISH
[2024-09-28T22:05:10-0400] DEBUG module: files, line 135 -> Marking Ignored/Duplicate START
[2024-09-28T22:05:10-0400] DEBUG module: files, line 143 -> Marking Ignored/Duplicate FINISH
[2024-09-28T22:05:10-0400] DEBUG module: files, line 145 -> Finalizing Duplicates START
[2024-09-28T22:05:10-0400] DEBUG module: files, line 147 -> Finalizing Duplicates FINISH
[2024-09-28T22:05:10-0400] DEBUG module: decorators, line 59 -> duple.files/Files.process_files FINISH elapsed time: 1.95237
[2024-09-28T22:05:10-0400] DEBUG module: duple, line 362 -> Finished hashing
[2024-09-28T22:05:10-0400] DEBUG module: decorators, line 57 -> duple.files/Files.determine_originals START
[2024-09-28T22:05:10-0400] DEBUG module: decorators, line 57 -> duple.files/Files.calculate_totals START
[2024-09-28T22:05:10-0400] DEBUG module: decorators, line 59 -> duple.files/Files.calculate_totals FINISH elapsed time: 1.98999
[2024-09-28T22:05:10-0400] DEBUG module: decorators, line 59 -> duple.files/Files.determine_originals FINISH elapsed time: 1.99004
[2024-09-28T22:05:10-0400] DEBUG module: duple, line 364 -> Finished selecting originals
[2024-09-28T22:05:10-0400] DEBUG module: decorators, line 57 -> duple.files/Files.create_duplicate_output START
[2024-09-28T22:05:10-0400] DEBUG module: decorators, line 59 -> duple.files/Files.create_duplicate_output FINISH elapsed time: 2.03832
[2024-09-28T22:05:10-0400] DEBUG module: decorators, line 57 -> duple.files/Files.create_all_files_output START
[2024-09-28T22:05:10-0400] DEBUG module: decorators, line 59 -> duple.files/Files.create_all_files_output FINISH elapsed time: 2.08851
[2024-09-28T22:05:10-0400] DEBUG module: decorators, line 57 -> duple.library/create_output START
[2024-09-28T22:05:10-0400] DEBUG module: decorators, line 59 -> duple.library/create_output FINISH elapsed time: 2.11066
[2024-09-28T22:05:10-0400] DEBUG module: duple, line 378 -> Finished creating output, total "duple scan" time of  2.09374
[2024-09-28T22:05:10-0400] DEBUG module: decorators, line 41 -> duple.duple/scan FINISH ( 2.10189)
[2024-09-28T22:05:10-0400] INFO module: decorators, line 81 -> ====================         FINISH duple.duple/scan          ==================== uid='40be1e087e0711ef87b4c62b21528c10' elapsed time: 2.10204 seconds
[2024-09-28T22:05:33-0400] INFO module: decorators, line 79 -> ====================        START duple.duple/version         ==================== uid='4f840a607e0711ef9e19c62b21528c10'
[2024-09-28T22:05:33-0400] INFO module: decorators, line 81 -> ====================        FINISH duple.duple/version        ==================== uid='4f840a607e0711ef9e19c62b21528c10' elapsed time: 0.00132 seconds
