standard,O17/O16,s[O17/O16],O18/O16,s[O18/O16]
NBS28,4.79,0.05,9.56,0.11
Plesovice,4.095,0.04,8.19,0.04
Qinghu,2.7,0.1,5.4,0.1
Penglai,2.655,0.05,5.31,0.05
