disk-condition,trial-id,direction,correct_choice,okn,final_logmar,limit_reached
disk-condition-1-1,trial-1-1,1,R,true,0.90,false
disk-condition-2-2,trial-1-2,-1,LEFTARROW,true,0.80,false
disk-condition-3-1,trial-1-3,1,RIGHTARROW,true,0.70,false
disk-condition-4-2,trial-1-4,-1,LEFTARROW,false,0.70,false
disk-condition-3-2,trial-1-5,-1,LEFTARROW,true,0.70,false
disk-condition-3-2,trial-1-6,-1,LEFTARROW,false,0.72,false
disk-condition-3-1,trial-1-7,1,RIGHTARROW,true,0.72,false
disk-condition-3-1,trial-1-8,1,RIGHTARROW,true,0.72,false
disk-condition-3-1,trial-1-9,1,RIGHTARROW,false,0.84,true
