,name,total_price,unit,quantity,unit_price,order_number,invoice_number,payment_date
37,Tortellini con carne Pagani,1.3,,1.0,1.3,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
38,Tortellini con ricotta y espinacas Pagani,2.6,,2.0,1.3,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
39,Tortellini con tres quesos Pagani,1.3,,1.0,1.3,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
40,Nidos al huevo tagliatelle Hacendado,1.35,,1.0,1.35,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
41,Macarrón rayado Hacendado,1.6,,2.0,0.8,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
42,Tortiglioni Armando,1.3,,1.0,1.3,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
43,Lenteja pardina Hacendado,1.6,,1.0,1.6,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
44,Garbanzo Hacendado,2.0,,1.0,2.0,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
45,Garbanzo cocido Hacendado,0.75,,1.0,0.75,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
46,Arroz integral redondo Hacendado,1.9,,1.0,1.9,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
47,Palomitas de maíz con sal Hacendado para microondas,1.1,,1.0,1.1,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
48,Tomate frito Hacendado,1.45,,1.0,1.45,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
49,Mayonesa Hacendado,1.0,,1.0,1.0,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
50,Curry Hacendado,1.05,,1.0,1.05,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
51,Sobaos Hacendado,1.8,,1.0,1.8,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
52,Copos de avena Brüggen,0.7,,1.0,0.7,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
53,Pan de molde blanco familiar Hacendado,2.5,,2.0,1.25,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
54,Filetes pechuga de pollo,4.36,,1.0,4.36,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
55,Cerdo a tacos,2.83,,1.0,2.83,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
56,Calabaza cacahuete cortada a trozos,1.83,,1.0,1.83,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
57,Puerros,1.99,,1.0,1.99,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
58,Jamoncitos de pollo,3.7,,1.0,3.7,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
59,Secreto de cerdo,2.61,,1.0,2.61,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
60,Lomo de cerdo adobado familiar,7.27,,1.0,7.27,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
