,name,total_price,unit,quantity,unit_price,order_number,invoice_number,payment_date
0,Aguacate ,1.51,kg,4.29,0.352,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
1,Manzana Granny Smith ,4.46,kg,1.79,2.492,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
2,Plátano de Canarias ,2.39,kg,2.35,1.018,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
3,Mandarina ,2.84,kg,1.89,1.502,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
4,Bebida de melocotón Hacendado sin azúcares añadidos,1.35,,1.0,1.35,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
5,Bebida de piña Hacendado sin azúcares añadidos,1.35,,1.0,1.35,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
6,Pan de molde 100% integral familiar Hacendado,1.25,,1.0,1.25,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
7,3 Barras de pan,2.4,,2.0,1.2,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
8,Harina de trigo Hacendado,0.75,,1.0,0.75,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
9,Bolsa de basura extra Bosque Verde 30L cubo mediano,1.8,,1.0,1.8,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
10,Friegasuelos Pino Bosque Verde líquido,0.95,,1.0,0.95,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
11,Nata ligera para cocinar Hacendado,1.75,,1.0,1.75,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
12,Leche entera Hacendado,22.8,,4.0,5.7,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
13,Huevos grandes L,2.3,,1.0,2.3,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
14,Berberechos al natural S Hacendado,2.6,,1.0,2.6,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
15,Espinaca en porciones Hacendado ultracongelada,0.85,,1.0,0.85,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
16,Tacos de bacalao sin espinas Hacendado congelado,4.95,,1.0,4.95,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
17,Queso en polvo grana padano Hacendado,1.8,,1.0,1.8,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
18,Queso fundido sabor suave Hacendado lonchas,2.4,,1.0,2.4,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
19,Chorizo dulce extra Hacendado,1.93,,1.0,1.93,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
20,Chorizo picante extra Hacendado lonchas,1.95,,1.0,1.95,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
21,Chorizo extra Hacendado lonchas,1.7,,1.0,1.7,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
22,Salchichas cocidas estilo Frankfurt Hacendado de pollo y cerdo sabor ahumado,1.52,,1.0,1.52,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
23,Bacón Hacendado cintas,1.99,,1.0,1.99,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
24,Jamón cocido extra sándwich Hacendado lonchas,1.69,,1.0,1.69,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
25,Maxi york Hacendado ﬁnas lonchas,2.11,,1.0,2.11,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
26,Galletas Divertidas con cereales Hacendado,2.0,,1.0,2.0,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
27,Cereales rellenos de chocolate y avellana Hacendado,1.95,,1.0,1.95,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
28,Preparado de carne picada vacuno y cerdo,5.74,,1.0,5.74,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
29,Longaniza fresca sin tripa,2.8,,1.0,2.8,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
30,Fiambre de magro de cerdo adobado,2.68,,1.0,2.68,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
31,Compango asturiano,2.65,,1.0,2.65,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
32,Cacao soluble ColaCao original,14.95,,1.0,14.95,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
33,Mermelada de fresa Hacendado,1.5,,1.0,1.5,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
34,Crema al cacao con avellanas Hacendado de 2 sabores,1.65,,1.0,1.65,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
35,Chocolate con leche extraﬁno Nestlé,1.0,,1.0,1.0,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
36,Porciones de Chocolate negro 72% cacao extraﬁno Hacendado,2.0,,1.0,2.0,13272104,4511 - 90 - 36755 ,2022-12-12 13:29:00
